,Batting Avg All,Batting Avg Rec,Batting Ball By Wicket All,Batting Ball By Wicket Rec,Batting Strike Rate All,Batting Strike Rate Rec,Bowling Avg All,Bowling Avg Rec,Bowling Eco All,Bowling Eco Rec,Bowling Strike Rate All,Bowling Strike Rate Rec,Current Winner,Decision Winning Toss,Face To Face Win Diff,Innings,Non Striker Ball,Non Striker Run,Striker Ball,Striker Run,Target,Team1 No Of Matches,Team2 No Of Matches,Toss Jitse,Total Ball,Total Run,Total Wicket,Win Percentage All,Win Percentage Rec,Team_1,Team_2
47,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,7.4,2,7.4,37,160,80,91,2,7.4,57,2,-0.092897328,0.666666667,Bangladesh,India
48,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,7.5,37,7.5,3,160,80,91,2,7.5,58,2,-0.092897328,0.666666667,Bangladesh,India
49,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,7.6,3,7.6,37,160,80,91,2,7.6,58,2,-0.092897328,0.666666667,Bangladesh,India
50,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,8.1,37,8.1,3,160,80,91,2,8.1,58,2,-0.092897328,0.666666667,Bangladesh,India
51,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,8.2,37,8.2,3,160,80,91,2,8.2,58,2,-0.092897328,0.666666667,Bangladesh,India
52,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,8.3,37,8.3,4,160,80,91,2,8.3,59,2,-0.092897328,0.666666667,Bangladesh,India
53,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,8.4,4,8.4,38,160,80,91,2,8.4,60,2,-0.092897328,0.666666667,Bangladesh,India
54,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,8.5,38,8.5,6,160,80,91,2,8.5,62,2,-0.092897328,0.666666667,Bangladesh,India
55,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,8.6,38,8.6,7,160,80,91,2,8.6,63,2,-0.092897328,0.666666667,Bangladesh,India
56,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,9.1,38,9.1,7,160,80,91,2,9.1,63,2,-0.092897328,0.666666667,Bangladesh,India
57,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,9.2,38,9.2,13,160,80,91,2,9.2,69,2,-0.092897328,0.666666667,Bangladesh,India
58,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,9.3,38,9.3,17,160,80,91,2,9.3,73,2,-0.092897328,0.666666667,Bangladesh,India
59,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,9.4,38,9.4,19,160,80,91,2,9.4,75,2,-0.092897328,0.666666667,Bangladesh,India
60,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,9.5,38,9.5,20,160,80,91,2,9.5,76,2,-0.092897328,0.666666667,Bangladesh,India
61,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,9.6,20,9.6,39,160,80,91,2,9.6,77,2,-0.092897328,0.666666667,Bangladesh,India
62,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,10.1,20,10.1,40,160,80,91,2,10.1,78,2,-0.092897328,0.666666667,Bangladesh,India
63,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,10.2,40,10.2,20,160,80,91,2,10.2,78,2,-0.092897328,0.666666667,Bangladesh,India
64,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,10.3,40,10.3,20,160,80,91,2,10.3,78,2,-0.092897328,0.666666667,Bangladesh,India
65,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,10.4,40,10.4,20,160,80,91,2,10.4,78,3,-0.092897328,0.666666667,Bangladesh,India
66,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,10.5,0,10.5,41,160,80,91,2,10.5,79,3,-0.092897328,0.666666667,Bangladesh,India
67,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,10.6,41,10.6,1,160,80,91,2,10.6,80,3,-0.092897328,0.666666667,Bangladesh,India
68,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,11.1,41,11.1,2,160,80,91,2,11.1,81,3,-0.092897328,0.666666667,Bangladesh,India
69,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,11.2,2,11.2,47,160,80,91,2,11.2,87,3,-0.092897328,0.666666667,Bangladesh,India
70,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,11.3,2,11.3,47,160,80,91,2,11.3,87,3,-0.092897328,0.666666667,Bangladesh,India
71,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,11.4,2,11.4,48,160,80,91,2,11.4,88,3,-0.092897328,0.666666667,Bangladesh,India
72,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,11.5,48,11.5,3,160,80,91,2,11.5,89,3,-0.092897328,0.666666667,Bangladesh,India
73,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,11.6,3,11.6,49,160,80,91,2,11.6,90,3,-0.092897328,0.666666667,Bangladesh,India
74,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,12.1,3,12.1,50,160,80,91,2,12.1,91,3,-0.092897328,0.666666667,Bangladesh,India
75,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,12.2,50,12.2,4,160,80,91,2,12.2,92,3,-0.092897328,0.666666667,Bangladesh,India
76,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,12.3,4,12.3,50,160,80,91,2,12.3,92,3,-0.092897328,0.666666667,Bangladesh,India
77,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,12.4,4,12.4,50,160,80,91,2,12.4,92,3,-0.092897328,0.666666667,Bangladesh,India
78,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,12.5,4,12.5,51,160,80,91,2,12.5,93,3,-0.092897328,0.666666667,Bangladesh,India
79,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,12.6,51,12.6,5,160,80,91,2,12.6,94,3,-0.092897328,0.666666667,Bangladesh,India
80,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,13.1,51,13.1,6,160,80,91,2,13.1,95,3,-0.092897328,0.666666667,Bangladesh,India
81,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,13.2,6,13.2,51,160,80,91,2,13.2,95,3,-0.092897328,0.666666667,Bangladesh,India
82,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,13.3,6,13.3,51,160,80,91,2,13.3,95,3,-0.092897328,0.666666667,Bangladesh,India
83,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,13.4,6,13.4,55,160,80,91,2,13.4,99,3,-0.092897328,0.666666667,Bangladesh,India
84,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,13.5,6,13.5,56,160,80,91,2,13.5,100,3,-0.092897328,0.666666667,Bangladesh,India
85,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,13.6,56,13.6,10,160,80,91,2,13.6,104,3,-0.092897328,0.666666667,Bangladesh,India
86,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,14.1,10,14.1,56,160,80,91,2,14.1,104,3,-0.092897328,0.666666667,Bangladesh,India
87,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,14.2,10,14.2,57,160,80,91,2,14.2,105,3,-0.092897328,0.666666667,Bangladesh,India
88,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,14.3,57,14.3,11,160,80,91,2,14.3,106,3,-0.092897328,0.666666667,Bangladesh,India
89,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,14.4,11,14.4,61,160,80,91,2,14.4,110,3,-0.092897328,0.666666667,Bangladesh,India
90,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,14.5,11,14.5,61,160,80,91,2,14.5,110,4,-0.092897328,0.666666667,Bangladesh,India
91,0.383276965,20.95076923,-0.435303599,8.503384615,0.053914971,0.465986395,3.247050393,-3.67032967,0.670612811,0.18707483,1.09652135,-3.230769231,0,2,-0.181818182,1,14.6,11,14.6,1,160,80,91,2,14.6,111,4,-0.092897328,0.666666667,Bangladesh,India
