,Batting Avg All,Batting Avg Rec,Batting Ball By Wicket All,Batting Ball By Wicket Rec,Batting Strike Rate All,Batting Strike Rate Rec,Bowling Avg All,Bowling Avg Rec,Bowling Eco All,Bowling Eco Rec,Bowling Strike Rate All,Bowling Strike Rate Rec,Current Winner,Decision Winning Toss,Face To Face Win Diff,Innings,Non Striker Ball,Non Striker Run,Striker Ball,Striker Run,Target,Team1 No Of Matches,Team2 No Of Matches,Toss Jitse,Total Ball,Total Run,Total Wicket,Win Percentage All,Win Percentage Rec,Pakistan,New Zealand
49,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,8.2,34,8.2,45,160,78,68,1,8.2,79,0,-0.111940299,0.333333333,Pakistan,New Zealand
50,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,8.3,45,8.3,34,160,78,68,1,8.3,79,0,-0.111940299,0.333333333,Pakistan,New Zealand
51,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,8.4,45,8.4,38,160,78,68,1,8.4,83,0,-0.111940299,0.333333333,Pakistan,New Zealand
52,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,8.5,45,8.5,39,160,78,68,1,8.5,84,0,-0.111940299,0.333333333,Pakistan,New Zealand
53,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,8.6,39,8.6,46,160,78,68,1,8.6,85,0,-0.111940299,0.333333333,Pakistan,New Zealand
54,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,9.1,39,9.1,46,160,78,68,1,9.1,85,0,-0.111940299,0.333333333,Pakistan,New Zealand
55,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,9.2,39,9.2,46,160,78,68,1,9.2,85,0,-0.111940299,0.333333333,Pakistan,New Zealand
56,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,9.3,39,9.3,52,160,78,68,1,9.3,91,0,-0.111940299,0.333333333,Pakistan,New Zealand
57,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,9.4,39,9.4,56,160,78,68,1,9.4,95,0,-0.111940299,0.333333333,Pakistan,New Zealand
58,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,9.5,39,9.5,57,160,78,68,1,9.5,96,0,-0.111940299,0.333333333,Pakistan,New Zealand
59,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,9.6,57,9.6,40,160,78,68,1,9.6,97,0,-0.111940299,0.333333333,Pakistan,New Zealand
60,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,10.1,57,10.1,42,160,78,68,1,10.1,99,0,-0.111940299,0.333333333,Pakistan,New Zealand
61,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,10.2,57,10.2,43,160,78,68,1,10.2,100,0,-0.111940299,0.333333333,Pakistan,New Zealand
62,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,10.3,43,10.3,58,160,78,68,1,10.3,101,0,-0.111940299,0.333333333,Pakistan,New Zealand
63,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,10.4,58,10.4,43,160,78,68,1,10.4,101,0,-0.111940299,0.333333333,Pakistan,New Zealand
64,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,10.5,58,10.5,43,160,78,68,1,10.5,101,1,-0.111940299,0.333333333,Pakistan,New Zealand
65,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,10.6,43,10.6,0,160,78,68,1,10.6,101,1,-0.111940299,0.333333333,Pakistan,New Zealand
66,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,11.1,0,11.1,44,160,78,68,1,11.1,102,1,-0.111940299,0.333333333,Pakistan,New Zealand
67,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,11.2,44,11.2,0,160,78,68,1,11.2,102,1,-0.111940299,0.333333333,Pakistan,New Zealand
68,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,11.3,44,11.3,0,160,78,68,1,11.3,102,1,-0.111940299,0.333333333,Pakistan,New Zealand
69,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,11.4,44,11.4,1,160,78,68,1,11.4,103,1,-0.111940299,0.333333333,Pakistan,New Zealand
70,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,11.5,1,11.5,45,160,78,68,1,11.5,104,1,-0.111940299,0.333333333,Pakistan,New Zealand
71,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,11.6,45,11.6,2,160,78,68,1,11.6,105,1,-0.111940299,0.333333333,Pakistan,New Zealand
72,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,12.1,45,12.1,3,160,78,68,1,12.1,106,1,-0.111940299,0.333333333,Pakistan,New Zealand
73,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,12.2,3,12.2,46,160,78,68,1,12.2,107,1,-0.111940299,0.333333333,Pakistan,New Zealand
74,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,12.3,46,12.3,4,160,78,68,1,12.3,108,1,-0.111940299,0.333333333,Pakistan,New Zealand
75,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,12.4,4,12.4,47,160,78,68,1,12.4,109,1,-0.111940299,0.333333333,Pakistan,New Zealand
76,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,12.5,47,12.5,5,160,78,68,1,12.5,110,1,-0.111940299,0.333333333,Pakistan,New Zealand
77,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,12.6,5,12.6,48,160,78,68,1,12.6,111,1,-0.111940299,0.333333333,Pakistan,New Zealand
78,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,13.1,5,13.1,49,160,78,68,1,13.1,112,1,-0.111940299,0.333333333,Pakistan,New Zealand
79,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,13.2,49,13.2,6,160,78,68,1,13.2,113,1,-0.111940299,0.333333333,Pakistan,New Zealand
80,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,13.3,6,13.3,50,160,78,68,1,13.3,114,1,-0.111940299,0.333333333,Pakistan,New Zealand
81,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,13.4,50,13.4,7,160,78,68,1,13.4,115,1,-0.111940299,0.333333333,Pakistan,New Zealand
82,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,13.5,7,13.5,51,160,78,68,1,13.5,116,1,-0.111940299,0.333333333,Pakistan,New Zealand
83,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,13.6,51,13.6,8,160,78,68,1,13.6,117,1,-0.111940299,0.333333333,Pakistan,New Zealand
84,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,14.1,51,14.1,9,160,78,68,1,14.1,118,1,-0.111940299,0.333333333,Pakistan,New Zealand
85,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,14.2,9,14.2,52,160,78,68,1,14.2,119,1,-0.111940299,0.333333333,Pakistan,New Zealand
86,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,14.3,52,14.3,10,160,78,68,1,14.3,120,1,-0.111940299,0.333333333,Pakistan,New Zealand
87,-1.766687679,0.428571429,-1.478488096,0,0.004000218,0.025510204,2.580214547,-0.194139194,0.485643865,-1.522553212,0.953613539,2.723076923,1,2,0,1,14.4,10,14.4,53,160,78,68,1,14.4,121,1,-0.111940299,0.333333333,Pakistan,New Zealand
