,Batting Avg All,Batting Avg Rec,Batting Ball By Wicket All,Batting Ball By Wicket Rec,Batting Strike Rate All,Batting Strike Rate Rec,Bowling Avg All,Bowling Avg Rec,Bowling Eco All,Bowling Eco Rec,Bowling Strike Rate All,Bowling Strike Rate Rec,Current Winner,Decision Winning Toss,Face To Face Win Diff,Innings,Non Striker Ball,Non Striker Run,Striker Ball,Striker Run,Target,Team1 No Of Matches,Team2 No Of Matches,Toss Jitse,Total Ball,Total Run,Total Wicket,Win Percentage All,Win Percentage Rec,Team_1,Team_2,Day/Night
47,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,7.6,19,7.6,13,160,24,45,1,7.6,50,2,0.077075099,-0.666666667,England,Australia,1
48,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,8.1,19,8.1,14,160,24,45,1,8.1,51,2,0.077075099,-0.666666667,England,Australia,1
49,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,8.2,14,8.2,19,160,24,45,1,8.2,51,3,0.077075099,-0.666666667,England,Australia,1
50,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,8.3,14,8.3,1,160,24,45,1,8.3,52,3,0.077075099,-0.666666667,England,Australia,1
51,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,8.4,1,8.4,15,160,24,45,1,8.4,53,3,0.077075099,-0.666666667,England,Australia,1
52,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,8.5,15,8.5,1,160,24,45,1,8.5,53,3,0.077075099,-0.666666667,England,Australia,1
53,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,8.6,15,8.6,2,160,24,45,1,8.6,54,3,0.077075099,-0.666666667,England,Australia,1
54,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,9.1,15,9.1,2,160,24,45,1,9.1,54,3,0.077075099,-0.666666667,England,Australia,1
55,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,9.2,15,9.2,3,160,24,45,1,9.2,55,3,0.077075099,-0.666666667,England,Australia,1
56,-1.503901801,-8.464912281,-1.331872443,-3.9,0.003591354,-0.195977655,-4.512571296,-1.182971014,-0.317169025,-0.155440415,-2.633756257,-0.629347826,0,1,0.5,1,9.3,3,9.3,16,160,24,45,1,9.3,56,3,0.077075099,-0.666666667,England,Australia,1
